CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12523,88,8,2273.96,1,Loyal Customers
12524,90,1,77.15,3,Hibernating
12525,132,3,501.89,0,At Risk
12526,187,3,1055.97,0,At Risk
12527,128,1,147.0,3,Hibernating
12528,36,4,535.91,0,At Risk
12529,373,1,97.67,3,Hibernating
12530,98,1,266.42,3,Hibernating
12531,84,1,160.54,3,Hibernating
12532,2,17,4214.24,2,Champions
12533,129,6,4880.53,1,Loyal Customers
12534,161,2,251.69,3,Hibernating
12535,12,21,8350.72,2,Champions
12536,156,1,439.26,3,Hibernating
12537,38,2,810.83,0,At Risk
12538,26,2,359.63,0,At Risk
12539,91,2,192.54,0,At Risk
12540,73,3,977.14,0,At Risk
12541,24,5,1840.3,1,Loyal Customers
12542,101,3,1149.64,0,At Risk
12543,27,17,5008.8,2,Champions
12544,31,1,156.86,0,At Risk
12545,28,6,1930.1,1,Loyal Customers
12546,29,5,2284.05,1,Loyal Customers
12547,51,2,1206.49,0,At Risk
12548,21,32,5363.96,2,Champions
12549,189,1,462.23,3,Hibernating
12550,32,5,2883.82,1,Loyal Customers
12551,64,4,1446.85,1,Loyal Customers
12552,129,1,123.41,3,Hibernating
12553,62,3,708.34,0,At Risk
12554,104,1,92.61,3,Hibernating
12555,142,3,368.97,0,At Risk
12556,190,1,121.91,3,Hibernating
12557,13,24,8413.65,2,Champions
12558,18,39,55430.7,2,Champions
12559,173,1,50.05,3,Hibernating
12560,2,22,15800.19,2,Champions
12561,346,1,210.41,3,Hibernating
12562,105,2,211.76,0,At Risk
12563,219,2,250.42,3,Hibernating
12564,165,1,81.33,3,Hibernating
12565,122,2,325.28,0,At Risk
12566,21,9,2574.42,1,Loyal Customers
12567,101,5,2330.09,1,Loyal Customers
12568,184,1,170.92,3,Hibernating
12569,37,9,1283.46,1,Loyal Customers
12570,291,1,85.63,3,Hibernating
12571,56,5,544.92,0,At Risk
12572,70,1,138.57,3,Hibernating
12573,156,1,116.26,3,Hibernating
12574,220,1,197.57,3,Hibernating
12575,21,20,8159.05,2,Champions
12576,270,1,266.87,3,Hibernating
12577,19,1,463.32,0,At Risk
12578,2,34,18240.77,2,Champions
12579,42,1,147.82,0,At Risk
12580,139,2,250.26,3,Hibernating
12581,7,22,12459.73,2,Champions
12582,16,43,22447.89,2,Champions
12583,91,1,396.3,0,At Risk
12584,31,4,636.42,1,Loyal Customers
12585,6,18,6823.65,2,Champions
12586,89,2,405.52,0,At Risk
12587,153,3,838.09,0,At Risk
12588,76,1,364.23,0,At Risk
12589,373,1,90.19,3,Hibernating
12590,17,29,9261.64,2,Champions
12591,6,8,1827.79,1,Loyal Customers
12592,74,1,109.82,3,Hibernating
12593,120,5,753.33,0,At Risk
12594,50,4,452.05,0,At Risk
12595,63,2,1428.61,0,At Risk
12596,36,9,2384.62,1,Loyal Customers
12597,38,10,3242.63,1,Loyal Customers
12598,316,1,59.6,3,Hibernating
12599,99,1,120.11,3,Hibernating
12600,54,2,883.11,0,At Risk
12601,14,25,12291.17,2,Champions
12602,49,1,160.98,0,At Risk
12603,99,1,281.72,3,Hibernating
12604,264,1,72.86,3,Hibernating
12605,28,4,2072.13,1,Loyal Customers
12606,289,1,162.36,3,Hibernating
12607,43,3,729.11,0,At Risk
12608,72,5,1175.43,1,Loyal Customers
12609,154,1,149.49,3,Hibernating
12610,47,8,2805.15,1,Loyal Customers
12611,74,1,90.46,3,Hibernating
12612,81,1,154.77,3,Hibernating
12613,120,2,413.61,0,At Risk
12614,13,3,433.85,1,Loyal Customers
12615,48,2,987.52,0,At Risk
12616,147,3,680.86,0,At Risk
12617,248,1,128.61,3,Hibernating
12618,52,1,145.64,0,At Risk
12619,26,1,117.59,0,At Risk
12620,75,2,218.42,0,At Risk
12621,13,20,6958.13,2,Champions
12622,36,10,3355.72,1,Loyal Customers
12623,9,9,7459.59,2,Champions
12624,9,24,11765.69,2,Champions
12625,170,2,447.1,0,At Risk
12626,30,8,1296.08,1,Loyal Customers
12627,20,12,3158.04,1,Loyal Customers
12628,45,2,288.41,0,At Risk
12629,90,3,2074.49,0,At Risk
12630,10,4,1046.09,1,Loyal Customers
12631,104,4,1064.7,0,At Risk
12632,9,13,14367.12,2,Champions
12633,124,1,130.48,3,Hibernating
12634,17,10,3466.26,1,Loyal Customers
12635,50,5,2175.34,1,Loyal Customers
12636,80,5,1298.73,1,Loyal Customers
12637,81,2,780.9,0,At Risk
12638,50,9,1549.9,1,Loyal Customers
12639,46,3,757.93,0,At Risk
12640,14,14,7963.28,2,Champions
12641,4,43,23960.03,2,Champions
12642,244,1,109.72,3,Hibernating
12643,41,5,773.26,1,Loyal Customers
12644,41,20,24917.91,2,Champions
12645,120,2,251.96,0,At Risk
12646,7,6,3895.6,1,Loyal Customers
12647,209,4,371.54,0,At Risk
12648,14,22,8437.39,2,Champions
12649,109,2,434.37,0,At Risk
12650,128,2,283.24,0,At Risk
12651,4,24,17644.3,2,Champions
12652,25,4,1201.67,1,Loyal Customers
12653,127,1,217.57,3,Hibernating
12654,100,1,258.25,3,Hibernating
12655,27,17,8124.18,2,Champions
12656,64,2,562.94,0,At Risk
12657,24,25,22913.64,2,Champions
12658,78,9,1522.7,1,Loyal Customers
12659,39,24,4388.22,2,Champions
12660,62,2,203.41,0,At Risk
12661,18,26,9631.26,2,Champions
12662,128,1,211.06,3,Hibernating
12663,14,1,252.3,0,At Risk
12664,49,4,316.37,0,At Risk
12665,69,1,133.34,3,Hibernating
12666,99,1,182.85,3,Hibernating
12667,167,1,277.13,3,Hibernating
12668,59,1,187.65,0,At Risk
12669,97,4,1744.38,0,At Risk
12670,2,28,10783.0,2,Champions
12671,214,1,58.02,3,Hibernating
12672,66,1,154.43,3,Hibernating
12673,84,6,1059.14,1,Loyal Customers
12674,89,5,1601.87,1,Loyal Customers
12675,183,1,144.57,3,Hibernating
12676,128,1,291.04,3,Hibernating
12677,168,1,156.99,3,Hibernating
12678,80,1,195.68,3,Hibernating
12679,32,9,6619.46,1,Loyal Customers
12680,290,1,69.93,3,Hibernating
12681,62,1,705.24,0,At Risk
12682,94,3,663.76,0,At Risk
12683,104,4,839.51,0,At Risk
12684,125,3,463.21,0,At Risk
12685,237,1,110.47,3,Hibernating
12686,139,2,661.24,0,At Risk
12687,205,1,185.26,3,Hibernating
12688,290,1,215.41,3,Hibernating
12689,48,2,1308.23,0,At Risk
12690,17,3,1635.65,1,Loyal Customers
12691,157,1,161.31,3,Hibernating
12692,237,1,109.35,3,Hibernating
12693,56,2,880.09,0,At Risk
12694,125,1,123.29,3,Hibernating
12695,2,39,62087.77,2,Champions
12696,9,4,1033.14,1,Loyal Customers
12697,243,1,111.44,3,Hibernating
12698,373,1,76.31,3,Hibernating
12699,83,3,452.68,0,At Risk
12700,6,4,644.51,1,Loyal Customers
12701,61,2,969.77,0,At Risk
12702,38,5,1415.9,1,Loyal Customers
12703,91,3,847.81,0,At Risk
12704,16,5,1103.23,1,Loyal Customers
12705,69,4,1012.34,0,At Risk
12706,84,5,3232.47,1,Loyal Customers
12707,148,5,2692.29,1,Loyal Customers
12708,98,1,184.39,3,Hibernating
12709,57,13,3932.6,1,Loyal Customers
12710,24,9,2291.09,1,Loyal Customers
12711,24,6,688.37,1,Loyal Customers
12712,110,1,68.42,3,Hibernating
12713,114,5,1346.77,0,At Risk
12714,50,6,475.59,1,Loyal Customers
12715,197,1,277.88,3,Hibernating
12716,248,1,219.42,3,Hibernating
12717,18,10,2898.56,1,Loyal Customers
12718,61,10,3462.14,1,Loyal Customers
12719,175,1,94.63,3,Hibernating
12720,31,2,732.15,0,At Risk
12721,101,2,196.09,0,At Risk
12722,33,10,5149.77,1,Loyal Customers
12723,178,1,101.89,3,Hibernating
12724,249,1,170.16,3,Hibernating
12725,14,11,9798.48,2,Champions
12726,296,1,176.69,3,Hibernating
12727,245,1,129.71,3,Hibernating
12728,165,2,618.26,0,At Risk
12729,41,5,1849.9,1,Loyal Customers
12730,11,21,4744.5,2,Champions
12731,217,3,403.84,3,Hibernating
12732,130,4,1250.16,0,At Risk
12733,129,1,141.72,3,Hibernating
12734,135,5,2348.62,1,Loyal Customers
12735,107,2,373.52,0,At Risk
12736,58,3,902.6,0,At Risk
12737,72,2,537.35,0,At Risk
12738,35,22,11997.6,2,Champions
12739,30,2,1518.53,1,Loyal Customers
12740,88,7,2393.46,1,Loyal Customers
12741,88,3,919.91,0,At Risk
12742,36,3,1496.73,1,Loyal Customers
12743,225,2,385.61,3,Hibernating
12744,5,19,21958.49,2,Champions
12745,227,2,499.81,3,Hibernating
12746,180,2,550.32,0,At Risk
12747,13,17,8144.99,2,Champions
12748,33,29,19109.51,2,Champions
12749,152,10,4850.75,1,Loyal Customers
12750,116,1,237.81,3,Hibernating
12751,338,1,144.78,3,Hibernating
12752,6,28,15913.1,2,Champions
12753,110,1,116.76,3,Hibernating
12754,102,3,2143.7,0,At Risk
12755,126,2,459.54,0,At Risk
12756,109,2,409.63,0,At Risk
12757,185,1,53.88,3,Hibernating
12758,188,1,51.72,3,Hibernating
12759,152,2,184.0,3,Hibernating
12760,18,4,3430.46,1,Loyal Customers
12761,118,2,191.63,3,Hibernating
12762,320,1,70.71,3,Hibernating
12763,106,1,110.34,3,Hibernating
12764,66,1,291.19,0,At Risk
12765,263,1,91.1,3,Hibernating
12766,5,25,28581.71,2,Champions
12767,84,3,1021.17,0,At Risk
12768,50,7,1608.19,1,Loyal Customers
12769,75,1,1001.82,0,At Risk
12770,33,9,2936.2,1,Loyal Customers
12771,23,15,5109.26,2,Champions
12772,42,1,353.37,0,At Risk
12773,22,27,12005.23,2,Champions
12774,34,3,1255.6,1,Loyal Customers
12775,161,1,182.72,3,Hibernating
12776,169,1,76.4,3,Hibernating
12777,192,1,173.99,3,Hibernating
12778,373,1,224.06,3,Hibernating
12779,52,4,808.64,0,At Risk
12780,198,1,86.74,3,Hibernating
12781,38,3,725.8,0,At Risk
12782,2,23,11994.16,2,Champions
12783,99,2,569.97,0,At Risk
12784,279,1,269.68,3,Hibernating
12785,65,4,596.45,0,At Risk
12786,278,4,618.59,0,At Risk
12787,7,10,3842.55,2,Champions
12788,256,1,70.61,3,Hibernating
12789,92,13,5114.84,1,Loyal Customers
12790,127,1,92.68,3,Hibernating
12791,47,2,293.04,0,At Risk
12792,115,1,304.86,3,Hibernating
12793,108,2,164.29,3,Hibernating
12794,22,5,2294.47,1,Loyal Customers
12795,25,5,1275.32,1,Loyal Customers
12796,72,1,187.05,0,At Risk
12797,116,1,461.36,0,At Risk
12798,170,1,400.83,3,Hibernating
12799,7,6,2995.0,1,Loyal Customers
12800,174,1,99.53,3,Hibernating
12801,186,2,125.07,3,Hibernating
12802,14,4,1014.48,1,Loyal Customers
12803,89,1,81.08,3,Hibernating
12804,59,4,2429.71,1,Loyal Customers
12805,108,5,1389.85,0,At Risk
12806,9,19,8448.5,2,Champions
12807,15,12,2523.36,1,Loyal Customers
12808,90,4,253.18,0,At Risk
12809,248,4,603.82,0,At Risk
12810,2,26,16713.03,2,Champions
12811,290,1,114.17,3,Hibernating
12812,14,4,604.56,1,Loyal Customers
12813,13,5,1295.25,1,Loyal Customers
12814,152,2,626.48,0,At Risk
12815,373,1,209.49,3,Hibernating
12816,106,1,252.73,3,Hibernating
12817,58,6,1457.56,1,Loyal Customers
12818,54,4,921.06,0,At Risk
12819,41,2,427.18,0,At Risk
12820,201,1,128.21,3,Hibernating
12821,22,12,1892.6,1,Loyal Customers
12822,50,4,565.18,0,At Risk
12823,119,2,487.64,0,At Risk
12824,96,4,1784.02,1,Loyal Customers
12825,71,10,2410.44,1,Loyal Customers
12826,86,5,1538.16,1,Loyal Customers
12827,173,2,248.82,3,Hibernating
12828,312,1,301.06,3,Hibernating
12829,218,1,104.11,3,Hibernating
12830,132,2,482.33,0,At Risk
12831,3,28,11493.03,2,Champions
12832,317,1,170.27,3,Hibernating
12833,178,2,300.54,3,Hibernating
12834,373,1,100.15,3,Hibernating
12835,100,2,929.36,0,At Risk
12836,30,3,414.9,0,At Risk
12837,144,3,639.11,0,At Risk
12838,96,11,1525.97,1,Loyal Customers
12839,30,6,961.67,1,Loyal Customers
12840,60,2,418.34,0,At Risk
12841,224,1,148.31,3,Hibernating
12842,102,7,1021.45,1,Loyal Customers
12843,62,1,224.22,0,At Risk
12844,85,9,2084.23,1,Loyal Customers
12845,51,12,2050.11,1,Loyal Customers
12846,16,21,6168.71,2,Champions
12847,268,1,486.31,3,Hibernating
12848,40,3,940.93,0,At Risk
12849,94,5,1277.5,1,Loyal Customers
12850,48,9,1768.42,1,Loyal Customers
12851,10,3,1025.45,1,Loyal Customers
12852,61,2,252.0,0,At Risk
12853,22,15,5690.66,2,Champions
12854,132,1,172.97,3,Hibernating
12855,8,12,11120.48,2,Champions
12856,365,1,120.21,3,Hibernating
12857,140,1,283.24,3,Hibernating
12858,5,15,4734.07,2,Champions
12859,73,5,2177.18,1,Loyal Customers
12860,33,1,311.41,0,At Risk
12861,209,7,638.92,0,At Risk
12862,278,1,107.54,3,Hibernating
12863,152,5,5916.77,1,Loyal Customers
12864,66,6,1062.67,1,Loyal Customers
12865,316,1,104.15,3,Hibernating
12866,267,3,1228.81,0,At Risk
12867,146,5,2661.28,1,Loyal Customers
12868,70,5,1378.38,1,Loyal Customers
12869,106,3,1654.92,0,At Risk
12870,373,1,223.53,3,Hibernating
12871,163,5,459.52,0,At Risk
12872,312,1,79.55,3,Hibernating
12873,92,5,1264.05,1,Loyal Customers
12874,40,1,196.15,0,At Risk
12875,144,1,753.06,0,At Risk
12876,165,1,74.08,3,Hibernating
12877,84,3,1243.7,0,At Risk
12878,228,1,78.99,3,Hibernating
12879,39,14,3116.93,1,Loyal Customers
12880,297,3,576.68,3,Hibernating
12881,122,1,305.2,3,Hibernating
12882,171,1,64.41,3,Hibernating
12883,50,4,703.89,0,At Risk
12884,160,1,71.25,3,Hibernating
12885,76,9,2143.85,1,Loyal Customers
12886,11,24,21335.16,2,Champions
12887,282,1,103.66,3,Hibernating
12888,241,1,200.49,3,Hibernating
12889,3,23,8081.8,2,Champions
12890,227,1,63.65,3,Hibernating
12891,40,4,1158.01,1,Loyal Customers
12892,210,1,156.07,3,Hibernating
12893,255,1,40.61,3,Hibernating
12894,176,1,86.8,3,Hibernating
12895,262,1,479.6,3,Hibernating
12896,158,1,147.82,3,Hibernating
12897,104,2,1002.52,0,At Risk
12898,18,10,1922.92,1,Loyal Customers
12899,50,15,5671.83,1,Loyal Customers
12900,352,1,147.01,3,Hibernating
12901,19,37,22664.82,2,Champions
12902,294,1,124.9,3,Hibernating
12903,24,8,3451.23,1,Loyal Customers
12904,124,1,147.38,3,Hibernating
12905,104,1,960.12,0,At Risk
12906,235,2,365.68,3,Hibernating
12907,209,2,450.91,3,Hibernating
12908,74,11,3253.73,1,Loyal Customers
12909,131,1,204.36,3,Hibernating
12910,30,6,1313.43,1,Loyal Customers
12911,373,1,92.8,3,Hibernating
12912,227,1,88.19,3,Hibernating
12913,37,3,746.68,0,At Risk
12914,17,26,13499.26,2,Champions
12915,43,2,1101.22,0,At Risk
12916,66,1,831.5,0,At Risk
12917,246,1,90.24,3,Hibernating
12918,60,4,1238.61,1,Loyal Customers
12919,373,2,208.73,3,Hibernating
12920,341,1,104.36,3,Hibernating
12921,161,1,142.19,3,Hibernating
12922,129,3,427.01,0,At Risk
12923,20,6,2994.53,1,Loyal Customers
12924,144,1,203.42,3,Hibernating
12925,206,1,201.28,3,Hibernating
12926,306,3,478.31,3,Hibernating
12927,30,2,592.39,0,At Risk
12928,22,23,4908.8,2,Champions
12929,120,1,39.21,3,Hibernating
12930,141,1,122.98,3,Hibernating
12931,64,6,752.27,1,Loyal Customers
12932,350,1,127.01,3,Hibernating
12933,24,33,15919.76,2,Champions
12934,225,3,183.22,3,Hibernating
12935,87,7,4627.26,1,Loyal Customers
12936,37,9,2368.99,1,Loyal Customers
12937,70,4,1924.76,1,Loyal Customers
12938,61,5,1952.84,1,Loyal Customers
12939,29,3,1025.17,1,Loyal Customers
12940,83,12,2294.57,1,Loyal Customers
12941,88,3,305.11,0,At Risk
12942,236,2,293.1,3,Hibernating
12943,299,1,140.39,3,Hibernating
12944,96,1,240.21,3,Hibernating
12945,15,3,1052.91,1,Loyal Customers
12946,6,17,7201.43,2,Champions
12947,352,3,383.82,3,Hibernating
12948,176,1,194.05,3,Hibernating
12949,201,1,64.31,3,Hibernating
12950,165,1,110.28,3,Hibernating
12951,189,2,663.35,0,At Risk
12952,373,1,247.19,3,Hibernating
12953,19,4,202.9,0,At Risk
12954,229,1,336.94,3,Hibernating
12955,176,1,119.43,3,Hibernating
12956,229,2,170.33,3,Hibernating
12957,36,10,2012.42,1,Loyal Customers
12958,25,6,1631.32,1,Loyal Customers
12959,86,3,489.21,0,At Risk
12960,42,7,5084.79,1,Loyal Customers
12961,106,1,124.44,3,Hibernating
12962,166,1,160.1,3,Hibernating
12963,59,6,878.22,1,Loyal Customers
12964,146,5,2771.7,1,Loyal Customers
12965,82,1,416.02,0,At Risk
12966,137,1,64.15,3,Hibernating
12967,149,15,2391.06,1,Loyal Customers
12968,85,3,1502.48,0,At Risk
12969,373,1,72.22,3,Hibernating
12970,63,2,78.69,3,Hibernating
12971,271,1,75.82,3,Hibernating
12972,8,4,515.45,1,Loyal Customers
12973,133,2,297.08,0,At Risk
12974,49,4,651.67,0,At Risk
12975,189,1,232.87,3,Hibernating
12976,43,4,789.23,1,Loyal Customers
12977,42,4,905.79,1,Loyal Customers
12978,181,1,61.06,3,Hibernating
12979,114,4,1001.49,0,At Risk
12980,258,1,236.3,3,Hibernating
12981,12,4,1457.73,1,Loyal Customers
12982,123,2,1651.47,0,At Risk
12983,228,1,100.61,3,Hibernating
12984,262,1,72.7,3,Hibernating
12985,185,3,146.76,3,Hibernating
12986,185,1,138.55,3,Hibernating
12987,21,6,1083.96,1,Loyal Customers
12988,317,1,106.85,3,Hibernating
12989,115,1,99.3,3,Hibernating
12990,55,1,533.8,0,At Risk
12991,11,34,8830.18,2,Champions
12992,23,4,4019.28,1,Loyal Customers
12993,201,1,32.0,3,Hibernating
12994,373,1,80.17,3,Hibernating
12995,148,1,114.73,3,Hibernating
12996,62,3,657.52,0,At Risk
12997,29,28,14934.64,2,Champions
12998,122,1,190.43,3,Hibernating
12999,69,3,1594.67,0,At Risk
13000,14,26,13660.77,2,Champions
13001,7,16,5224.64,2,Champions
13002,2,10,7498.89,2,Champions
13003,39,1,242.14,0,At Risk
13004,350,2,412.45,3,Hibernating
13005,33,15,7723.19,2,Champions
13006,61,5,2044.73,1,Loyal Customers
13007,122,2,730.35,0,At Risk
13008,129,1,470.67,0,At Risk
13009,81,1,296.37,0,At Risk
13010,90,2,179.41,0,At Risk
13011,275,2,159.13,3,Hibernating
13012,254,1,133.74,3,Hibernating
13013,112,1,94.48,3,Hibernating
13014,108,3,1228.64,0,At Risk
13015,135,4,2039.8,0,At Risk
13016,107,2,560.41,0,At Risk
13017,27,8,1714.25,1,Loyal Customers
13018,13,6,1823.18,1,Loyal Customers
13019,101,4,901.62,0,At Risk
13020,13,7,2662.46,1,Loyal Customers
13021,82,3,585.62,0,At Risk
13022,91,2,741.21,0,At Risk
13023,6,21,15586.28,2,Champions
13024,38,17,3968.91,1,Loyal Customers
13025,28,9,3733.06,1,Loyal Customers
13026,228,1,116.77,3,Hibernating
13027,43,10,2527.17,1,Loyal Customers
13028,4,26,9632.84,2,Champions
13029,15,20,13104.48,2,Champions
13030,196,4,2776.86,0,At Risk
13031,23,14,3799.17,2,Champions
13032,83,1,227.55,3,Hibernating
13033,110,1,280.93,3,Hibernating
13034,368,1,178.94,3,Hibernating
13035,101,3,252.74,0,At Risk
13036,19,24,10882.7,2,Champions
13037,20,1,280.8,0,At Risk
13038,196,1,104.89,3,Hibernating
13039,33,2,462.84,0,At Risk
13040,52,1,253.94,0,At Risk
13041,73,1,204.73,0,At Risk
13042,11,31,9586.5,2,Champions
13043,53,4,718.64,0,At Risk
13044,239,1,124.06,3,Hibernating
13045,278,2,263.12,3,Hibernating
13046,218,1,70.86,3,Hibernating
13047,51,9,2341.19,1,Loyal Customers
13048,141,1,135.28,3,Hibernating
13049,15,3,725.39,1,Loyal Customers
13050,35,4,800.89,1,Loyal Customers
13051,77,4,431.86,0,At Risk
13052,184,3,901.99,0,At Risk
13053,55,8,2647.48,1,Loyal Customers
13054,48,1,551.33,0,At Risk
13055,17,6,1304.33,1,Loyal Customers
13056,71,8,2471.6,1,Loyal Customers
13057,9,15,5183.05,2,Champions
13058,141,1,178.16,3,Hibernating
13059,8,10,7627.09,2,Champions
13060,190,1,378.56,3,Hibernating
13061,11,4,603.33,1,Loyal Customers
13062,20,1,278.49,0,At Risk
13063,39,2,376.76,0,At Risk
13064,70,14,1730.14,1,Loyal Customers
13065,72,3,808.83,0,At Risk
